fips_code,county,state,customers_out,run_start_time
09001,Fairfield,Connecticut,95,2019-01-01 18:00:00
09003,Hartford,Connecticut,10,2019-01-01 18:00:00
09005,Litchfield,Connecticut,600,2019-01-01 18:00:00
09009,New Haven,Connecticut,359,2019-01-01 18:00:00
09011,New London,Connecticut,41,2019-01-01 18:00:00
09013,Tolland,Connecticut,95,2019-01-01 18:00:00
09015,Windham,Connecticut,77,2019-01-01 18:00:00
09001,Fairfield,Connecticut,109,2019-01-01 18:15:00
09003,Hartford,Connecticut,11,2019-01-01 18:15:00
09005,Litchfield,Connecticut,602,2019-01-01 18:15:00
09009,New Haven,Connecticut,14,2019-01-01 18:15:00
09011,New London,Connecticut,41,2019-01-01 18:15:00
09013,Tolland,Connecticut,95,2019-01-01 18:15:00
09015,Windham,Connecticut,78,2019-01-01 18:15:00
09001,Fairfield,Connecticut,109,2019-01-01 18:30:00
09003,Hartford,Connecticut,10,2019-01-01 18:30:00
09005,Litchfield,Connecticut,634,2019-01-01 18:30:00
09009,New Haven,Connecticut,1,2019-01-01 18:30:00
09011,New London,Connecticut,43,2019-01-01 18:30:00
09013,Tolland,Connecticut,95,2019-01-01 18:30:00
09015,Windham,Connecticut,70,2019-01-01 18:30:00
09001,Fairfield,Connecticut,113,2019-01-01 18:45:00
09003,Hartford,Connecticut,11,2019-01-01 18:45:00
09005,Litchfield,Connecticut,525,2019-01-01 18:45:00
09007,Middlesex,Connecticut,1,2019-01-01 18:45:00
09009,New Haven,Connecticut,10,2019-01-01 18:45:00
09011,New London,Connecticut,43,2019-01-01 18:45:00
09013,Tolland,Connecticut,95,2019-01-01 18:45:00
09015,Windham,Connecticut,70,2019-01-01 18:45:00
09001,Fairfield,Connecticut,113,2019-01-01 19:00:00
09003,Hartford,Connecticut,12,2019-01-01 19:00:00
09005,Litchfield,Connecticut,493,2019-01-01 19:00:00
09007,Middlesex,Connecticut,1,2019-01-01 19:00:00
09009,New Haven,Connecticut,10,2019-01-01 19:00:00
09011,New London,Connecticut,43,2019-01-01 19:00:00
09013,Tolland,Connecticut,90,2019-01-01 19:00:00
09015,Windham,Connecticut,68,2019-01-01 19:00:00
09001,Fairfield,Connecticut,112,2019-01-01 19:15:00
09003,Hartford,Connecticut,12,2019-01-01 19:15:00
09005,Litchfield,Connecticut,448,2019-01-01 19:15:00
09007,Middlesex,Connecticut,1,2019-01-01 19:15:00
09009,New Haven,Connecticut,11,2019-01-01 19:15:00
09011,New London,Connecticut,37,2019-01-01 19:15:00
09013,Tolland,Connecticut,4,2019-01-01 19:15:00
09015,Windham,Connecticut,68,2019-01-01 19:15:00
09001,Fairfield,Connecticut,104,2019-01-01 19:30:00
09003,Hartford,Connecticut,12,2019-01-01 19:30:00
09005,Litchfield,Connecticut,394,2019-01-01 19:30:00
09007,Middlesex,Connecticut,1,2019-01-01 19:30:00
09009,New Haven,Connecticut,11,2019-01-01 19:30:00
09011,New London,Connecticut,37,2019-01-01 19:30:00
09013,Tolland,Connecticut,4,2019-01-01 19:30:00
09015,Windham,Connecticut,32,2019-01-01 19:30:00
